,연도별 배출량 (톤/yr)
연도/오염물질,PM-2.5,SOx,NOx,VOCs,NH3,CO,TSP,PM-10,BC
2022,59459,126743,857026,938341,242227,921783,385464,148355,11042
2021,57317,160993,884454,1002810,262008,694817,396089,146383,10975
2020,58558,180157,929227,990629,261207,711399,392351,146733,11945
2019,61551,236596,1044713,1011352,268913,752713,394420,151816,13518
2018,67352,256653,1145063,1022640,269878,801796,414031,166480,15723
2017,66974,278990,1211102,1043644,260804,835597,405830,163070,16415
2016,69768,313210,1268587,1035629,258268,840892,403778,165432,17236
2015,98806,352292,1157728,1010771,297167,792776,604243,233177,15934
2014,63286,343161,1135743,905803,292501,594454,147194,97918,13426
2013,76802,404660,1090614,913573,292973,696682,185986,121563,
2012,76287,417645,1075207,911322,303463,703586,182744,119980,
2011,81793,433959,1040214,873108,276415,718345,201810,131176,
2010,,401741,1061210,866358,289766,766269,177601,116808,
2009,,387727,1014318,851162,278201,817979,155497,103735,
2008,,417980,1045104,857856,265720,703661,171603,110797,
2007,,402525,1187923,874699,308707,808862,144510,98143,
2006,,446488,1274969,794158,235703,829938,88260,64795,
2005,,408462,1306724,756421,247149,788917,88909,67343,
2004,,446804,1377526,797240,243661,816954,80084,62491,
2003,,469145,1362141,758455,235301,805414,85941,66357,
2002,,474084,1242265,741647,222581,822767,84365,65100,
2001,,487734,1219020,734814,231453,845076,88075,67368,
2000,,490761,1122844,706915,48484,900569,82101,61719,
1999,,484716,1072323,665043,49544,885179,84835,63251,
